fecha,estado,municipio,parroquia,sector,nombres_completos,cedula,genero,fecha_nacimiento,direccion,correo,telefono,institucion,grado,turno,tipo_institucion,num_personas,num_hermanos,fuente_ingreso,trabaja,dificultades,apoyos,banco,tipo_cuenta,numero_cuenta,servicio_comunitario,horarios,ubicacion_universidad,edad,edad_categorica
2026-08-13,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Las Palmeras,Daniela Jesus Ortiz Vargas,31469148,F,2009-12-01,"Calle 3, Las Palmeras, casa 32",daniela.ortiz4@example.com,0424-5977074,U.E. Dr. Rafael Urdaneta,4to ano,DIURNO,PUBLICA,2,1,NINGUNO,Trabaja,"utiles, transporte, matricula","beca, transporte_apoyo, ayuda_economica",BBVA Provincial,Corriente,1080000452777287389,Acepto,Sabados en la manana,La Villa Del Rosario,16,Menor de edad
2026-08-22,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,Centro,Lucia Ana Benitez Martinez,30022826,M,2008-09-05,"Calle 17, Centro, casa 13",lucia.benitez50@example.com,0424-2336149,Instituto Universitario de Tecnologia,4to semestre,DIURNO,PUBLICA,4,3,FORMAL,Trabaja,"hospedaje, matricula, tecnologia","transporte_apoyo, alimentacion_apoyo, beca",Banco Bicentenario,Ahorro,1750000964882876862,Acepto,Lunes y miercoles,La Villa Del Rosario,17,Menor de edad
2026-08-20,Zulia,ROSARIO DE PERIJA,EL ROSARIO,San Jose,Sofia Carlos Gonzalez Martinez,27053563,F,2008-05-28,"Calle 2, San Jose, casa 56",sofia.gonzalez58@example.com,0414-2882866,U.E. Dr. Rafael Urdaneta,4to ano,DIURNO,PUBLICA,7,5,FORMAL,Trabaja,alimentacion,alimentacion_apoyo,Banco Occidental de Descuento,Ahorro,1160000772141658922,No acepto,,Maracaibo,18,Mayor de edad
2026-08-13,Zulia,ROSARIO DE PERIJA,EL ROSARIO,San Miguel,Isabel Andres Romero Castillo,27675785,F,2003-07-24,"Calle 4, San Miguel, casa 36",isabel.romero5@example.com,0426-6948961,U.E. Dr. Rafael Urdaneta,4to ano,DIURNO,PUBLICA,4,0,NINGUNO,Trabaja,tecnologia,"transporte_apoyo, material_escolar, alimentacion_apoyo",Banco del Tesoro,Corriente,1630000812288055154,No acepto,,Maracaibo,23,Mayor de edad
2026-08-06,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Las Colinas,Jesus Gabriel Rios Ramirez,27395693,F,2003-12-26,"Calle 13, Las Colinas, casa 35",jesus.rios73@example.com,0424-9855079,U.E. Dr. Rafael Urdaneta,4to ano,NOCTURNO,PUBLICA,6,2,NINGUNO,Trabaja,hospedaje,material_escolar,Banco Bicentenario,Corriente,1750000456797692678,Acepto,Viernes,Maracaibo,22,Mayor de edad
2026-08-02,Zulia,ROSARIO DE PERIJA,EL ROSARIO,San Miguel,Ana Andres Diaz Gomez,27811466,M,2009-04-28,"Calle 11, San Miguel, casa 43",ana.diaz43@example.com,0424-5860708,U.E. Nuestra Senora del Carmen,5to ano,DIURNO,PUBLICA,2,2,INFORMAL,No Trabaja,"transporte, hospedaje","ayuda_economica, beca, material_escolar",BBVA Provincial,Corriente,1080000195068011191,No acepto,,Maracaibo,17,Menor de edad
2026-08-15,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,San Jose,Jorge Pedro Rodriguez Lopez,26312978,M,2007-08-08,"Calle 5, San Jose, casa 20",jorge.rodriguez8@example.com,0412-9360262,U.E. Nuestra Senora del Carmen,5to ano,NOCTURNO,PUBLICA,8,0,FORMAL,Trabaja,"hospedaje, tecnologia","material_escolar, beca",Banco Bicentenario,Corriente,1750000874572201390,No acepto,,Maracaibo,19,Mayor de edad
2026-08-12,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Centro,Diego Isabel Castillo Rios,26194298,M,2007-02-13,"Calle 13, Centro, casa 31",diego.castillo21@example.com,0424-1734583,Instituto Universitario de Tecnologia,3er semestre,NOCTURNO,PUBLICA,2,4,INFORMAL,Trabaja,"alimentacion, tecnologia, matricula",material_escolar,Banco del Tesoro,Ahorro,1630000545046094239,No acepto,,La Villa Del Rosario,19,Mayor de edad
2026-08-27,Zulia,ROSARIO DE PERIJA,EL ROSARIO,El progreso,Maria Diego Benitez Ramirez,25379350,F,2003-01-31,"Calle 15, El progreso, casa 33",maria.benitez64@example.com,0414-2079886,LUZ,5to semestre,VESPERTINO,PUBLICA,8,4,FORMAL,No Trabaja,"utiles, transporte","alimentacion_apoyo, material_escolar",Banesco,Ahorro,1340000622204477618,No acepto,,Maracaibo,23,Mayor de edad
2026-08-07,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,La Esperanza,Marta Camila Benitez Romero,29728781,M,2006-05-24,"Calle 5, La Esperanza, casa 88",marta.benitez89@example.com,0414-2265079,U.E. Nuestra Senora del Carmen,6to ano,NOCTURNO,PUBLICA,2,3,FORMAL,No Trabaja,"matricula, hospedaje, transporte","transporte_apoyo, beca",Banco Mercantil,Ahorro,1050000166768617003,Acepto,Martes y jueves,Maracaibo,20,Mayor de edad
2026-08-16,Zulia,ROSARIO DE PERIJA,EL ROSARIO,La Esperanza,Fernando Diego Romero Mendoza,31068896,M,2007-02-26,"Calle 16, La Esperanza, casa 91",fernando.romero46@example.com,0414-6348103,URBE,1er semestre,DIURNO,PRIVADA,3,5,FORMAL,No Trabaja,tecnologia,empleo,Banco Occidental de Descuento,Ahorro,1160000710148639784,Acepto,Sabados en la manana,Maracaibo,19,Mayor de edad
2026-08-06,Zulia,ROSARIO DE PERIJA,EL ROSARIO,Corito,Jorge Andres Ramirez Martinez,29077748,M,2003-06-26,"Calle 15, Corito, casa 30",jorge.ramirez47@example.com,0414-4023810,U.E. Colegio Santa Rita,5to ano,NOCTURNO,PRIVADA,4,5,NINGUNO,Trabaja,"utiles, matricula",alimentacion_apoyo,Banco Nacional de Credito,Ahorro,1910000911029047113,Acepto,Sabados en la manana,La Villa Del Rosario,23,Mayor de edad
2026-08-05,Zulia,ROSARIO DE PERIJA,EL ROSARIO,El progreso,Camila Lucia Lopez Rios,29392268,F,2005-08-07,"Calle 13, El progreso, casa 32",camila.lopez9@example.com,0412-8859467,LUZ,5to semestre,VESPERTINO,PUBLICA,7,1,FORMAL,Trabaja,tecnologia,"empleo, transporte_apoyo",Banco de Venezuela,Ahorro,1020000873892331799,No acepto,,La Villa Del Rosario,21,Mayor de edad
2026-08-18,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,El Recreo,Andres Marta Rodriguez Lopez,28948435,M,2008-10-06,"Calle 1, El Recreo, casa 62",andres.rodriguez48@example.com,0426-6898631,LUZ,5to semestre,VESPERTINO,PUBLICA,7,2,NINGUNO,Trabaja,"alimentacion, utiles","ayuda_economica, transporte_apoyo, beca",BBVA Provincial,Corriente,1080000346704034251,Acepto,Martes y jueves,Maracaibo,17,Menor de edad
2026-08-25,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Centro,Elena Jorge Rodriguez Ruiz,25833461,M,2010-11-21,"Calle 18, Centro, casa 56",elena.rodriguez53@example.com,0414-5601100,U.E. Colegio San Jose,4to ano,VESPERTINO,PRIVADA,5,1,INFORMAL,Trabaja,hospedaje,empleo,Banco Occidental de Descuento,Ahorro,1160000831278433575,Acepto,Viernes,Maracaibo,15,Menor de edad
2026-08-12,Zulia,ROSARIO DE PERIJA,EL ROSARIO,San Miguel,Lucia Maria Suarez Castillo,29244670,M,2003-06-13,"Calle 4, San Miguel, casa 27",lucia.suarez37@example.com,0412-8388861,U.E. Colegio San Jose,4to ano,VESPERTINO,PRIVADA,3,3,NINGUNO,Trabaja,hospedaje,alimentacion_apoyo,Banco Mercantil,Corriente,1050000658101553831,No acepto,,Maracaibo,23,Mayor de edad
2026-08-12,Zulia,ROSARIO DE PERIJA,EL ROSARIO,El Carmen,Diego Sofia Martinez Flores,30214809,M,2010-09-19,"Calle 8, El Carmen, casa 86",diego.martinez47@example.com,0416-4484223,URBE,3er semestre,DIURNO,PRIVADA,3,5,INFORMAL,No Trabaja,"matricula, alimentacion","transporte_apoyo, alimentacion_apoyo, empleo",Banesco,Corriente,1340000778584023346,No acepto,,La Villa Del Rosario,15,Menor de edad
2026-08-22,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,Corito,Gabriel Jose Suarez Benitez,30708359,F,2006-12-10,"Calle 15, Corito, casa 23",gabriel.suarez47@example.com,0414-1353696,U.E. Nuestra Senora del Carmen,5to ano,VESPERTINO,PUBLICA,6,1,FORMAL,No Trabaja,"tecnologia, matricula, alimentacion","transporte_apoyo, ayuda_economica",Banco del Tesoro,Corriente,1630000788605184471,Acepto,Viernes,Maracaibo,19,Mayor de edad
2026-08-16,Zulia,ROSARIO DE PERIJA,EL ROSARIO,San Jose,Luis Maria Gomez Diaz,29577811,F,2006-09-14,"Calle 3, San Jose, casa 64",luis.gomez17@example.com,0424-7628972,Instituto Universitario de Tecnologia,1er semestre,VESPERTINO,PUBLICA,6,0,NINGUNO,Trabaja,utiles,alimentacion_apoyo,Banco Bicentenario,Ahorro,1750000265546141359,Acepto,Viernes,Maracaibo,19,Mayor de edad
2026-08-08,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,La Esperanza,Daniela Jorge Ortiz Flores,26889823,M,2010-03-02,"Calle 4, La Esperanza, casa 42",daniela.ortiz12@example.com,0416-4669401,URBE,4to semestre,VESPERTINO,PRIVADA,3,5,INFORMAL,Trabaja,"transporte, tecnologia","transporte_apoyo, ayuda_economica",Banco Mercantil,Ahorro,1050000356487108758,No acepto,,La Villa Del Rosario,16,Menor de edad
2026-08-27,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,La Paz,Valentina Jose Fernandez Ruiz,27702281,F,2004-08-20,"Calle 13, La Paz, casa 26",valentina.fernandez47@example.com,0426-4174520,LUZ,5to semestre,VESPERTINO,PUBLICA,8,1,INFORMAL,Trabaja,"utiles, matricula","material_escolar, ayuda_economica",Banco Mercantil,Ahorro,1050000694378198396,No acepto,,Maracaibo,22,Mayor de edad
2026-08-09,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,El progreso,Sofia Ana Perez Gonzalez,25843413,F,2006-05-22,"Calle 3, El progreso, casa 19",sofia.perez40@example.com,0412-3885743,U.E. Colegio San Jose,4to ano,DIURNO,PRIVADA,6,5,INFORMAL,Trabaja,"alimentacion, utiles","material_escolar, beca, empleo",Banco de Venezuela,Ahorro,1020000167912962144,Acepto,Lunes y miercoles,La Villa Del Rosario,20,Mayor de edad
2026-08-09,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,El Carmen,Sofia Gabriel Ramirez Rodriguez,30996044,F,2006-09-06,"Calle 12, El Carmen, casa 73",sofia.ramirez5@example.com,0412-9360130,U.E. Colegio San Jose,4to ano,DIURNO,PRIVADA,5,3,NINGUNO,Trabaja,tecnologia,"alimentacion_apoyo, beca, ayuda_economica",Banco Nacional de Credito,Corriente,1910000660209220587,Acepto,Sabados en la manana,Maracaibo,19,Mayor de edad
2026-08-07,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,La Esperanza,Sofia Fernando Ramirez Torres,29314897,F,2007-02-03,"Calle 1, La Esperanza, casa 49",sofia.ramirez65@example.com,0412-9719898,U.E. Dr. Rafael Urdaneta,4to ano,DIURNO,PUBLICA,6,2,FORMAL,Trabaja,"utiles, matricula",material_escolar,Banco del Tesoro,Corriente,1630000880591114157,No acepto,,Maracaibo,19,Mayor de edad
2026-08-18,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,El progreso,Diego Daniela Lopez Rodriguez,29581934,F,2003-04-24,"Calle 9, El progreso, casa 34",diego.lopez51@example.com,0412-4619855,Instituto Universitario de Tecnologia,1er semestre,DIURNO,PUBLICA,8,2,INFORMAL,Trabaja,"utiles, transporte","beca, empleo",Banesco,Ahorro,1340000166055688737,Acepto,Sabados en la manana,Maracaibo,23,Mayor de edad
2026-08-07,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Villa del Rosario,Daniela Jose Perez Rodriguez,31831700,M,2010-08-04,"Calle 5, Villa del Rosario, casa 27",daniela.perez11@example.com,0416-6144063,U.E. Dr. Rafael Urdaneta,4to ano,DIURNO,PUBLICA,6,4,INFORMAL,No Trabaja,transporte,"beca, ayuda_economica",Banco de Venezuela,Ahorro,1020000548005741012,Acepto,Lunes y miercoles,La Villa Del Rosario,16,Menor de edad
2026-08-09,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,Centro,Gabriel Daniela Flores Rodriguez,25345431,F,2006-07-25,"Calle 9, Centro, casa 69",gabriel.flores68@example.com,0426-7040623,U.E. Colegio San Jose,4to ano,DIURNO,PRIVADA,3,3,INFORMAL,No Trabaja,"utiles, transporte","alimentacion_apoyo, material_escolar, ayuda_economica",Banco Mercantil,Ahorro,1050000199982611174,Acepto,Viernes,La Villa Del Rosario,20,Mayor de edad
2026-08-02,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,San Jose,Camila Maria Martinez Flores,25362568,M,2004-08-25,"Calle 12, San Jose, casa 40",camila.martinez7@example.com,0414-9347278,U.E. Dr. Rafael Urdaneta,4to ano,DIURNO,PUBLICA,7,3,INFORMAL,No Trabaja,"utiles, hospedaje","empleo, ayuda_economica, transporte_apoyo",Banco del Tesoro,Corriente,1630000165335888812,Acepto,Viernes,La Villa Del Rosario,22,Mayor de edad
2026-08-21,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Corito,Camila Luis Lopez Castillo,27755973,M,2005-01-06,"Calle 5, Corito, casa 59",camila.lopez12@example.com,0414-7588600,U.E. Colegio Santa Rita,4to ano,DIURNO,PRIVADA,4,1,INFORMAL,No Trabaja,"utiles, hospedaje, transporte","alimentacion_apoyo, material_escolar",Banco de Venezuela,Corriente,1020000323758359152,Acepto,Martes y jueves,Maracaibo,21,Mayor de edad
2026-08-04,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,Las Colinas,Pedro Lucia Torres Diaz,29352539,F,2008-04-11,"Calle 4, Las Colinas, casa 82",pedro.torres76@example.com,0426-5906687,U.E. Nuestra Senora del Carmen,6to ano,NOCTURNO,PUBLICA,4,5,NINGUNO,Trabaja,"matricula, tecnologia","transporte_apoyo, beca, material_escolar",Banco Nacional de Credito,Corriente,1910000878788223778,No acepto,,Maracaibo,18,Mayor de edad
2026-08-10,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Las Colinas,Gabriel Isabel Benitez Mendoza,29304318,F,2005-05-02,"Calle 17, Las Colinas, casa 30",gabriel.benitez50@example.com,0414-5545260,U.E. Colegio San Jose,4to ano,NOCTURNO,PRIVADA,8,4,INFORMAL,No Trabaja,transporte,"beca, transporte_apoyo",Banco Occidental de Descuento,Ahorro,1160000381258563459,No acepto,,Maracaibo,21,Mayor de edad
2026-08-22,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Corito,Marta Luis Ortiz Vargas,25139941,M,2003-07-16,"Calle 5, Corito, casa 40",marta.ortiz27@example.com,0416-8061631,U.E. Colegio San Jose,5to ano,NOCTURNO,PRIVADA,8,3,NINGUNO,Trabaja,hospedaje,material_escolar,Banesco,Corriente,1340000167877618630,No acepto,,La Villa Del Rosario,23,Mayor de edad
2026-08-30,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,El Recreo,Sofia Pedro Gomez Lopez,27328387,M,2006-12-31,"Calle 20, El Recreo, casa 53",sofia.gomez31@example.com,0424-1654529,LUZ,3er semestre,NOCTURNO,PUBLICA,7,5,INFORMAL,Trabaja,transporte,"material_escolar, beca, transporte_apoyo",BBVA Provincial,Ahorro,1080000913340588691,Acepto,Lunes y miercoles,Maracaibo,19,Mayor de edad
2026-08-02,Zulia,ROSARIO DE PERIJA,EL ROSARIO,Villa del Rosario,Fernando Camila Lopez Ramirez,30085390,M,2010-05-20,"Calle 16, Villa del Rosario, casa 80",fernando.lopez55@example.com,0426-5215320,LUZ,7mo semestre,NOCTURNO,PUBLICA,7,1,FORMAL,Trabaja,"utiles, matricula",alimentacion_apoyo,Banesco,Corriente,1340000463293182558,Acepto,Viernes,Maracaibo,16,Menor de edad
2026-08-14,Zulia,ROSARIO DE PERIJA,EL ROSARIO,La Paz,Carlos Maria Gomez Castillo,28200355,F,2006-04-26,"Calle 2, La Paz, casa 30",carlos.gomez40@example.com,0412-3895016,Instituto Universitario de Tecnologia,2do semestre,DIURNO,PUBLICA,3,3,NINGUNO,No Trabaja,"tecnologia, transporte, hospedaje","alimentacion_apoyo, material_escolar, transporte_apoyo",Banco Occidental de Descuento,Ahorro,1160000421077232797,Acepto,Martes y jueves,La Villa Del Rosario,20,Mayor de edad
2026-08-23,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Las Palmeras,Maria Elena Ruiz Rios,29592525,M,2007-11-01,"Calle 14, Las Palmeras, casa 45",maria.ruiz43@example.com,0426-6419303,LUZ,5to semestre,VESPERTINO,PUBLICA,3,0,FORMAL,Trabaja,"hospedaje, matricula, transporte","alimentacion_apoyo, material_escolar",Banco Bicentenario,Ahorro,1750000692062765067,No acepto,,La Villa Del Rosario,18,Mayor de edad
2026-08-16,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Villa del Rosario,Gabriel Pedro Ortiz Gonzalez,28737704,M,2005-03-31,"Calle 7, Villa del Rosario, casa 21",gabriel.ortiz23@example.com,0426-3581393,Instituto Universitario de Tecnologia,2do semestre,VESPERTINO,PUBLICA,2,0,NINGUNO,No Trabaja,"utiles, transporte, tecnologia","alimentacion_apoyo, ayuda_economica",Banco Bicentenario,Corriente,1750000187104923915,Acepto,Lunes y miercoles,La Villa Del Rosario,21,Mayor de edad
2026-08-24,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,La Esperanza,Maria Jorge Ramirez Torres,30791110,F,2010-04-21,"Calle 14, La Esperanza, casa 51",maria.ramirez61@example.com,0426-4259376,U.E. Nuestra Senora del Carmen,6to ano,VESPERTINO,PUBLICA,7,4,NINGUNO,Trabaja,"alimentacion, transporte, tecnologia",ayuda_economica,Banco del Tesoro,Corriente,1630000135601157750,Acepto,Lunes y miercoles,Maracaibo,16,Menor de edad
2026-08-01,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,La Esperanza,Andres Daniela Torres Ortiz,29072893,M,2003-08-02,"Calle 2, La Esperanza, casa 78",andres.torres19@example.com,0414-5983551,LUZ,5to semestre,DIURNO,PUBLICA,8,2,NINGUNO,Trabaja,"alimentacion, tecnologia, hospedaje","alimentacion_apoyo, beca",Banco Bicentenario,Corriente,1750000137063052684,Acepto,Sabados en la manana,La Villa Del Rosario,23,Mayor de edad
2026-08-12,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,La Marina,Pedro Gabriel Castillo Ruiz,31171646,M,2007-05-26,"Calle 10, La Marina, casa 61",pedro.castillo64@example.com,0414-5703606,U.E. Colegio San Jose,5to ano,NOCTURNO,PRIVADA,6,2,INFORMAL,No Trabaja,"utiles, tecnologia, transporte","empleo, beca, material_escolar",Banco Nacional de Credito,Ahorro,1910000151466586321,Acepto,Lunes y miercoles,La Villa Del Rosario,19,Mayor de edad
2026-08-10,Zulia,ROSARIO DE PERIJA,EL ROSARIO,La Paz,Diego Jorge Lopez Gonzalez,28466225,M,2003-12-25,"Calle 9, La Paz, casa 78",diego.lopez5@example.com,0414-6111026,U.E. Dr. Rafael Urdaneta,5to ano,DIURNO,PUBLICA,4,1,NINGUNO,No Trabaja,matricula,"ayuda_economica, material_escolar",Banesco,Ahorro,1340000282550026760,Acepto,Lunes y miercoles,La Villa Del Rosario,22,Mayor de edad
2026-08-29,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Corito,Jorge Sofia Vargas Benitez,25637682,M,2009-05-15,"Calle 17, Corito, casa 23",jorge.vargas93@example.com,0414-3314347,URBE,2do semestre,NOCTURNO,PRIVADA,3,3,INFORMAL,Trabaja,"utiles, tecnologia, alimentacion","empleo, alimentacion_apoyo",Banesco,Ahorro,1340000688163373365,No acepto,,Maracaibo,17,Menor de edad
2026-08-27,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,El Recreo,Andres Jesus Benitez Martinez,31147818,F,2009-09-29,"Calle 16, El Recreo, casa 45",andres.benitez90@example.com,0416-1309786,U.E. Colegio San Jose,5to ano,DIURNO,PRIVADA,8,1,INFORMAL,Trabaja,utiles,"material_escolar, ayuda_economica",Banco del Tesoro,Corriente,1630000251980178457,No acepto,,Maracaibo,16,Menor de edad
2026-08-30,Zulia,ROSARIO DE PERIJA,EL ROSARIO,La Paz,Pedro Fernando Gonzalez Martinez,29510674,F,2004-05-26,"Calle 12, La Paz, casa 89",pedro.gonzalez16@example.com,0424-4324088,U.E. Dr. Rafael Urdaneta,5to ano,NOCTURNO,PUBLICA,6,4,FORMAL,No Trabaja,alimentacion,"ayuda_economica, transporte_apoyo",Banesco,Corriente,1340000579823190124,No acepto,,Maracaibo,22,Mayor de edad
2026-08-15,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Las Colinas,Elena Marta Romero Mendoza,25557462,M,2010-09-15,"Calle 9, Las Colinas, casa 91",elena.romero51@example.com,0416-9913390,U.E. Dr. Rafael Urdaneta,4to ano,VESPERTINO,PUBLICA,7,3,INFORMAL,No Trabaja,"transporte, utiles",transporte_apoyo,Banesco,Corriente,1340000856023799485,No acepto,,Maracaibo,15,Menor de edad
2026-08-09,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Villa del Rosario,Marta Ana Ramirez Mendoza,27768115,F,2009-07-26,"Calle 14, Villa del Rosario, casa 24",marta.ramirez70@example.com,0426-1081932,URBE,3er semestre,NOCTURNO,PRIVADA,4,1,INFORMAL,Trabaja,"utiles, alimentacion, tecnologia","beca, alimentacion_apoyo, empleo",Banesco,Ahorro,1340000602687469039,Acepto,Lunes y miercoles,La Villa Del Rosario,17,Menor de edad
2026-08-02,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,El Carmen,Carlos Sofia Fernandez Rios,25555049,F,2005-11-23,"Calle 19, El Carmen, casa 34",carlos.fernandez41@example.com,0426-5853148,U.E. Nuestra Senora del Carmen,6to ano,NOCTURNO,PUBLICA,6,5,NINGUNO,No Trabaja,"tecnologia, alimentacion",beca,Banco de Venezuela,Corriente,1020000960810604926,Acepto,Viernes,Maracaibo,20,Mayor de edad
